variable,role,eq_model,eq_paper,paper_role,paper_name,paper_unit,paper_source,paper_source_full,model_unit,status,source_used,raw_file,transform,unit_conversion,missing_handling,constant_value,first_valid,last_valid,n_missing_window,n_missing_solve_period,issue
D9203C,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,1.0,2010Q1,2021Q4,0,0,
D084,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
D142,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,,2010Q1,2021Q4,0,0,
D151,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,,2010Q1,2021Q4,0,0,
D191,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,,2010Q1,2021Q4,0,0,
D972C,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,1.0,2010Q1,2021Q4,0,0,
D952,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
D984,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
D961,外生,,,論文にない,,,,,0/1,ダミー,推定式に現れる期間ダミー（名前の年・四半期で 1。C は以降継続、C+年四半期は区間）,,model.make_calendar,0/1,なし,0.0,2010Q1,2021Q4,0,0,
DTCIC2,外生,,,外生,消費税率アップダミー（1997Q2:1998Q1、2014Q2:2015Q1、2019Q4:2020Q3),,Author,内閣府経済社会総合研究所作成,0/1,ダミー（論文どおり）,"消費税率引上げダミー 1997Q2–1998Q1, 2014Q2–2015Q1, 2019Q4–2020Q3",,model.make_calendar,0/1,なし,,2010Q1,2021Q4,0,0,
RTCI,外生,,,外生,消費税率,％,"MOF,MBFS",財務省 財政金融統計月報,小数（比率）,論文どおり,"消費税 標準税率（2010Q1 5%, 2014Q2 8%, 2019Q4 10%）",,階段関数（手入力）,% → 小数（0.05 など）,なし,,2010Q1,2021Q4,0,0,
PRTCP,外生,,,外生,消費税による民間最終消費支出デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.52,2010Q1,2021Q4,0,0,#3
PRTIF,外生,,,外生,消費税による民間投資デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.18,2010Q1,2021Q4,0,0,#3
PRTIH,外生,,,外生,消費税による住宅投資デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.8,2010Q1,2021Q4,0,0,#3
PRTGP,外生,,,外生,消費税による企業物価上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.86,2010Q1,2021Q4,0,0,#3
PRTIG,外生,,,外生,消費税による公的固定資本形成デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.45,2010Q1,2021Q4,0,0,#3
PRTCG,外生,,,外生,消費税による政府最終消費支出デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.48,2010Q1,2021Q4,0,0,#3
PRTFU,外生,,,外生,消費税による鉱物性燃料輸入デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.0,2010Q1,2021Q4,0,0,#3
PRTNF,外生,,,外生,消費税による財貨・サービス（鉱物性燃料除く）デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.0,2010Q1,2021Q4,0,0,#3
PRTMG,外生,,,論文にない,,,,,小数（比率）,逆算（Author 系列の代替）,論文 乗数表(6) 消費税率+1%pt の 2018Q1 デフレーター反応から逆算した転嫁率,output/published_multipliers.csv,全期間一定。PRTMG は論文にない（輸入デフレーターの転嫁率、0）,小数,なし,0.0,2010Q1,2021Q4,0,0,#3
PRTNP,外生,,,外生,消費税による民間在庫デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,= PRTGP（企業物価の転嫁率を在庫デフレーターに流用）,,全期間一定,小数,なし,0.86,2010Q1,2021Q4,0,0,#3
PRTNG,外生,,,外生,消費税による公的在庫デフレータ上昇率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,= PRTIG（公的固定資本形成の転嫁率を公的在庫に流用）,,全期間一定,小数,なし,0.45,2010Q1,2021Q4,0,0,#3
PCPAT,内生,56,56,内生,民間最終消費支出デフレータ（消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"デフレーター ÷ (1 + RTCI × 転嫁率)（式56,58,61,63,64）",,,2015年=1,なし,,2010Q1,2021Q4,0,0,
PIFPAT,内生,58,58,内生,民間企業設備投資デフレータ(消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"デフレーター ÷ (1 + RTCI × 転嫁率)（式56,58,61,63,64）",,,2015年=1,なし,,2010Q1,2021Q4,0,0,
PIHPAT,内生,61,61,内生,民間住宅投資デフレータ(消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"デフレーター ÷ (1 + RTCI × 転嫁率)（式56,58,61,63,64）",,,2015年=1,なし,,2010Q1,2021Q4,0,0,
PCGAT,内生,63,63,内生,政府最終消費支出デフレータ(消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"デフレーター ÷ (1 + RTCI × 転嫁率)（式56,58,61,63,64）",,,2015年=1,なし,,2010Q1,2021Q4,0,0,
PIGAT,内生,64,64,内生,公的固定資本形成デフレータ（消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"デフレーター ÷ (1 + RTCI × 転嫁率)（式56,58,61,63,64）",,,2015年=1,なし,,2010Q1,2021Q4,0,0,
CGPI,内生,74,74,内生,企業物価指数,2015年=1,"BOJ,PIM",日本銀行 企業物価指数,2015年=1,論文どおり,日本銀行 国内企業物価指数 総平均（PR01/PRCG20_2200000000）,data/raw/boj_series.csv,月次→四半期平均→2015年平均=1,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
CGPIAT,内生,57,57,内生,企業物価指数(消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,論文どおり,日本銀行 国内企業物価指数 総平均 消費税を除く（PR01/PRCG20_1200000000）,data/raw/boj_series.csv,月次→四半期平均→2015年平均=1,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,
PINP,内生,77,77,内生,民間企業在庫投資デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,代用,= CGPI（民間在庫デフレーターは QE で公表されないため企業物価で代用）,,,2015年=1,なし,,2010Q1,2021Q4,0,0,#3
PING,外生,,,外生,公的在庫品増価デフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,代用,= PIG（公的在庫デフレーターを公的固定資本形成デフレーターで代用）,,,2015年=1,なし,,2010Q1,2021Q4,0,0,#3
PINPAT,内生,62,62,内生,民間企業在庫投資デフレータ(消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,PINP ÷ (1 + RTCI × PRTNP)（式62）,,,2015年=1,なし,,2010Q1,2021Q4,0,0,
ERRINPV,外生,,,外生,民間企業在庫品増加（名目）誤差項,10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,残差（Author 系列の代替）,INPV − INP × PINP（式17を実績で閉じる）,,,10億円・年率,なし,,2010Q1,2021Q4,0,0,
ERRINGV,外生,,,外生,公的在庫品増加（名目）誤差項,10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,残差（Author 系列の代替）,INGV − ING × PING（式20を実績で閉じる）,,,10億円・年率,なし,,2010Q1,2021Q4,0,0,
PFUEL,内生,81,81,内生,鉱物性燃料輸入のデフレータ,2015年=1,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,2015年=1,代用,日本銀行 輸入物価指数 円ベース 石油・石炭・天然ガス（PR01/PRCG20_2600520001）。論文は SNA の鉱物性燃料輸入デフレーター,data/raw/boj_series.csv,月次→四半期平均→2015年平均=1,2015年=100 → 2015年=1,なし,,2010Q1,2021Q4,0,0,#3
FUELV,内生,24,24,内生,鉱物性燃料輸入（名目）,10億円,"JTA,SRTJ",日本関税協会 外国貿易概況,10億円・季調年率,同種統計・加工差,財務省 普通貿易統計（e-Stat）鉱物性燃料 輸入額 全国合計（論文は日本関税協会 外国貿易概況）,"data/raw/estat_trade_fuel_0003228199.csv, estat_trade_fuel_0003313968.csv",月次→四半期合計→移動平均比率法で季調,千円 ÷1e6 ×4 → 10億円・年率,なし,,2011Q1,2020Q4,8,0,
FUEL,内生,11,11,内生,鉱物性燃料輸入（実質）,10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,定義式,FUELV ÷ PFUEL（式11）,,,10億円・年率,なし,,2011Q1,2020Q4,8,0,
NFMGSV,内生,25,25,内生,財貨・サービスの輸入(名目、鉱物性燃料除く),10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,定義式,"MGSV − FUELV、MGS − FUEL、NFMGSV ÷ NFMGS（式25,12,82。連鎖の非加法性は無視）",,,10億円・年率／2015年=1,なし,,2011Q1,2020Q4,8,0,
NFMGS,内生,12,12,内生,財貨・サービスの輸入(実質、鉱物性燃料除く),10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,定義式,"MGSV − FUELV、MGS − FUEL、NFMGSV ÷ NFMGS（式25,12,82。連鎖の非加法性は無視）",,,10億円・年率／2015年=1,なし,,2011Q1,2020Q4,8,0,
PNFMGS,内生,82,82,内生,財貨・サービスの輸入デフレータ(鉱物性燃料除く),2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"MGSV − FUELV、MGS − FUEL、NFMGSV ÷ NFMGS（式25,12,82。連鎖の非加法性は無視）",,,10億円・年率／2015年=1,なし,,2011Q1,2020Q4,8,0,
PFUELAT,内生,67,67,内生,鉱物性燃料輸入デフレータ(円ベース、消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"= PFUEL, PNFMGS, PMGS（式67,68,66。輸入の転嫁率 PRTFU・PRTNF は 0）",,,2015年=1,なし,,2010Q1,2021Q4,0,0,
PNFMGSAT,内生,68,68,内生,財貨・サービスの輸入デフレータ(鉱物性燃料・消費税除く),2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"= PFUEL, PNFMGS, PMGS（式67,68,66。輸入の転嫁率 PRTFU・PRTNF は 0）",,,2015年=1,なし,,2011Q1,2020Q4,8,0,
PMGSAT,内生,66,66,内生,財貨・サービスの輸入デフレータ(消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,"= PFUEL, PNFMGS, PMGS（式67,68,66。輸入の転嫁率 PRTFU・PRTNF は 0）",,,2015年=1,なし,,2010Q1,2021Q4,0,0,
PGDPAT,内生,55,55,内生,GDPデフレータ(消費税除く）,2015年=1,Author,内閣府経済社会総合研究所作成,2015年=1,定義式,式26 の名目GDP（消費税除く）÷ 実質GDP（式55）,,,2015年=1,なし,,2010Q1,2021Q4,0,0,
FXS,内生,147,147,内生,為替レート,円／ドル,"BOJ,ESM",日本銀行 金融経済統計月報,円/ドル,論文どおり,日本銀行 東京市場 ドル・円スポット 17時時点 月中平均（FM08/FXERM07）,data/raw/boj_series.csv,月次→四半期平均,円/ドル,なし,,2010Q1,2021Q4,0,0,
POILD,外生,,,外生,原油価格（ドル建）,ドル／バレル,"JTA,SRTJ",日本関税協会 外国貿易概況,ドル/バレル,同種統計・加工差,財務省 普通貿易統計（e-Stat）原油及び粗油 輸入金額÷数量（論文は日本関税協会 外国貿易概況）,"data/raw/estat_trade_crude_0003228199.csv, estat_trade_crude_0003313968.csv",月次→四半期合計で単価,千円/kL ×1000 → 円/kL ÷ FXS → ドル/kL ÷ 6.2898 → ドル/バレル,なし,,2011Q1,2020Q4,8,0,
LF,内生,47,47,内生,労働力人口,1万人,Author,内閣府経済社会総合研究所作成,万人,論文どおり,総務省 労働力調査 長期時系列表1-a-1 主要項目 月次 季節調整値（e-Stat）,data/raw/estat_lfs_000040115411.xlsx,月次→四半期平均,万人・%（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
LE,内生,52,52,内生,就業者数,1万人,"SBSC,LFS",総務省 労働力調査報告,万人,論文どおり,総務省 労働力調査 長期時系列表1-a-1 主要項目 月次 季節調整値（e-Stat）,data/raw/estat_lfs_000040115411.xlsx,月次→四半期平均,万人・%（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
LW,内生,53,53,内生,雇用者数,1万人,"SBSC,LFS",総務省 労働力調査報告,万人,論文どおり,総務省 労働力調査 長期時系列表1-a-1 主要項目 月次 季節調整値（e-Stat）,data/raw/estat_lfs_000040115411.xlsx,月次→四半期平均,万人・%（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
UR,内生,48,48,内生,完全失業率,％,"SBSC,LFS",総務省 労働力調査報告,%,論文どおり,総務省 労働力調査 長期時系列表1-a-1 主要項目 月次 季節調整値（e-Stat）,data/raw/estat_lfs_000040115411.xlsx,月次→四半期平均,万人・%（公表単位のまま）,なし,,2010Q1,2021Q4,0,0,
POP,外生,,,外生,15歳以上人口,1万人,"SBSC,LFS",総務省 労働力調査報告,万人,論文どおり,総務省 労働力調査 労働力人口 + 非労働力人口（15歳以上人口）,data/raw/estat_lfs_000040115411.xlsx,月次季調値の和→四半期平均,万人,なし,,2010Q1,2021Q4,0,0,
RLEW,外生,,,外生,雇用者／就業者比率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,定義式（逆算）,LW ÷ LE（式53 を実績で閉じる）,,,小数,なし,,2010Q1,2021Q4,0,0,
POP65,外生,,,外生,65歳以上人口,1万人,"SBSC,LFS",総務省 労働力調査報告,万人,同種統計・加工差,総務省 労働力調査 基本集計 15歳以上人口 65歳以上 四半期（e-Stat 0003005798 系）,data/raw/estat_lfs_pop65_q.csv,四半期原系列（季調なし）,万人,2018Q1 より前は POP × (2018Q1 の POP65/POP 比) で延長（式47・140 は当期値のみ使用）,,2010Q1,2021Q4,0,0,#3
HH,外生,,,外生,世帯数,1万,"SBSC,BRR",総務省 住民基本台帳,万人,論文どおり,総務省 住民基本台帳世帯数（日本人、全国、年度。e-Stat 社会・人口統計体系 0000010101 の A7103）,data/raw/estat_hh_0000010101.csv,年度値を年度末（翌年Q1）に置いて対数線形で四半期補間,世帯 ÷1万 → 1万世帯,直近年度末より先は直近1年の変化率で延長,,2010Q1,2021Q4,0,0,#3
CUX,内生,54,54,内生,稼働率指数,％,"METI,ISM",経済産業省 鉱工業生産指数,2015年=100,論文どおり,経済産業省 製造工業 稼働率指数 季節調整済（e-Stat。2015年基準）,data/raw/estat_cux_2015base.csv,月次→四半期平均,2015年=100（論文の単位表記は %）,なし,,2013Q1,2021Q4,12,0,
LHX,内生,49,49,内生,総実労働時間指数,2015年=100,"MHLW,MLS",厚生労働省 毎月勤労統計調査報告,2015年=100,同種統計・加工差,厚生労働省 毎月勤労統計 長期時系列表29 総実労働時間指数 事業所規模5人以上 調査産業計 就業形態計 原指数,data/raw/estat_maikin_t29_hours_5plus.xls,四半期原指数→移動平均比率法で季調→2015年平均=100,2015年=100,なし,,2010Q1,2021Q4,0,0,
WI,内生,69,69,内生,一人当たり賃金・俸給,10万円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10万円,定義式,"YWIV ÷ LW、YWV ÷ LW（式69, 95）",,,10億円/万人 = 10万円,なし,,2010Q1,2021Q4,0,0,
W,内生,95,95,内生,一人当たり雇用者報酬,10万円,"CAO,SNA",内閣府 国民経済計算・固定資本ストック速報,10万円,定義式,"YWIV ÷ LW、YWV ÷ LW（式69, 95）",,,10億円/万人 = 10万円,なし,,2010Q1,2021Q4,0,0,
M2CD,内生,111,111,内生,"貨幣供給量（M2+CD,平均残高）",10億円,"BOJ,ESM",日本銀行 金融経済統計月報,10億円（ストック・期末）,同種統計・加工差,日本銀行 マネーストック M2 平均残高（MD02/MAM1NAM2M2MO）。M2+CD（MD02/MAMS3ANM2C、2008年4月で公表終了）に接続,data/raw/boj_series.csv,月次→四半期平均。重複期間（2003/04〜2008/04）の平均比 1.0050 を M2 に乗じる,億円 ÷10 → 10億円,なし,,2010Q1,2021Q4,0,0,#3
RCD,内生,113,"113,114",内生,CDレート（名目）,％,"BOJ,ESM",日本銀行 金融経済統計月報,%,論文どおり,日本銀行 譲渡性預金 平均金利 新規発行分 総合（FM02/STRAK_STRACDN2DB）,data/raw/boj_series.csv,月次→四半期平均。式113 の下限 0.001 で切り上げ（マイナス金利期）,%,なし,,2010Q1,2021Q4,0,0,
RCDX,内生,114,,論文にない,,,,,%,定義式,"= RCD（式114 の実績値。式113 RCD = max(0.001, RCDX)）",,,%,なし,,2010Q1,2021Q4,0,0,
RGB,内生,115,"115,116",内生,利付国債利回り（10年物）,％,日本証券業協会,日本証券業協会,%,同種統計,10年国債 新発債流通利回り 月平均（ESRI 景気動向指数 先行系列の採用系列、原資料は日本証券業協会・日本相互証券）,data/raw/esri_ci1_0907.xlsx → external_series.csv,月次→四半期平均。式115 の下限 0.001 で切り上げ,%,なし,,2010Q1,2021Q4,0,0,
RGBX,内生,116,,論文にない,,,,,%,定義式,= RGB（式116 の実績値）,,,%,なし,,2010Q1,2021Q4,0,0,
KFPV,内生,107,107,内生,民間企業資本ストック（名目）,10億円,Author,内閣府経済社会総合研究所作成,10億円（ストック・期末）,同種統計・加工差,ESRI 国民経済計算 固定資産（名目、暦年末）民間部門（非金融法人・金融機関の民間、家計、NPISH）合計 − 住宅,data/raw/2022ss4n_jp.xlsx,モデルの蓄積式 K_t = K_{t-1}·(P_t/P_{t-1})·(1−r) + I_t/4 で四半期化（r は暦年内一定、年末残高に一致するよう二分法）,10億円,なし,,2010Q4,2021Q4,3,0,
RRFPV,外生,,,外生,民間企業固定資本除却率（名目）,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,暦年末残高に一致させる年内一定の除却率（上の四半期化で二分法により決定）,,,小数（四半期率）,なし,,2011Q1,2021Q4,4,0,
KHPV,内生,108,108,内生,民間住宅ストック（名目）,10億円,Author,内閣府経済社会総合研究所作成,10億円（ストック・期末）,同種統計・加工差,ESRI 国民経済計算 固定資産 住宅（名目、暦年末）民間部門合計,data/raw/2022ss4n_jp.xlsx,"同上（IHPV, PIHP で四半期化）",10億円,なし,,2010Q4,2021Q4,3,0,
RRHPV,外生,,,外生,民間住宅ストック除却率（名目）,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,暦年末残高に一致させる年内一定の除却率（上の四半期化で二分法により決定）,,,小数（四半期率）,なし,,2011Q1,2021Q4,4,0,
KGV,内生,44,44,内生,公的固定資本ストック(名目),10億円,Author,内閣府経済社会総合研究所作成,10億円（ストック・期末）,同種統計・加工差,ESRI 国民経済計算 固定資産（名目、暦年末）公的部門（非金融法人・金融機関の公的、一般政府）合計,data/raw/2022ss4n_jp.xlsx,"同上（IGV, PIG で四半期化）",10億円,なし,,2010Q4,2021Q4,3,0,
RRKGV,外生,,,外生,公的固定資本除却率（名目）,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,暦年末残高に一致させる年内一定の除却率（上の四半期化で二分法により決定）,,,小数（四半期率）,なし,,2011Q1,2021Q4,4,0,
KNPV,内生,109,109,内生,民間企業在庫ストック（名目）,10億円,Author,内閣府経済社会総合研究所作成,10億円（ストック・期末）,同種統計・加工差,ESRI 国民資産・負債残高 在庫（暦年末）,data/raw/2022ss1_jp.xlsx,"同上（INPV, PINP で四半期化）",10億円,なし,,2010Q4,2021Q4,3,0,
RRNPV,外生,,,外生,民間企業在庫ストック除却率（名目）,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,暦年末残高に一致させる年内一定の除却率（上の四半期化で二分法により決定）,,,小数（四半期率）,なし,,2011Q1,2021Q4,4,0,
RRFP,外生,,,外生,民間企業固定資本除却率（実質）,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,= RRFPV（実質の除却率を名目と同じとする）,,,小数,なし,,2011Q1,2021Q4,4,0,
RKGV,内生,46,46,内生,公的固定資本除却(名目),10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,定義式,"RRKGV × KGV(-1) × 4、RKGV ÷ PIG(-1)（式46, 45）",,,10億円・年率,なし,,2011Q1,2021Q4,4,0,
RKG,内生,45,45,内生,公的固定資本除却(実質),10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,定義式,"RRKGV × KGV(-1) × 4、RKGV ÷ PIG(-1)（式46, 45）",,,10億円・年率,なし,,2011Q1,2021Q4,4,0,
CCAVGR,外生,,,外生,固定資本減耗（一般政府分）の公的固定資本除却比,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,(CCAVG ÷ PCG) ÷ RKG（一般政府固定資本減耗の公的固定資本除却比）,,,小数,なし,,2011Q1,2021Q4,4,0,
CGXRKG,外生,,,外生,政府最終消費支出(実質固定資本減耗(一般政府分)除く）,10億円,Author,内閣府経済社会総合研究所作成,10億円・季調年率,残差（Author 系列の代替）,CG − CCAVGR × RKG（式7 を実績で閉じる）,,,10億円・年率,なし,,2011Q1,2021Q4,4,0,
IGVR,外生,,,外生,公的固定資本形成(名目)うち一般政府比率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,同種統計・加工差,ESRI 国民経済計算 一般政府の部門別勘定（GFS）固定資産の純取得 + 固定資本減耗（年度）÷ 公的固定資本形成 IGV（年度平均）,data/raw/2022s6_2_jp.xlsx,年度値を年度内一定で四半期に割付,小数,年度値のない端の期間は前後の値で埋める（ffill/bfill）,,2010Q1,2021Q4,0,0,
ITR,内生,129,129,内生,モデル上の所得実効税率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,定義式,TYPV ÷ (YWV + BSSV + YIEV + YICV + OTYDV) の4期移動平均（式129 の税率定義）,,,小数,4期移動平均のため 2010Q1〜Q3 は欠損,,2010Q4,2021Q4,3,0,#2
ITREQ,外生,,,外生,均衡所得実効税率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,逆算（Author 系列の代替）,ITR の 2010Q4〜2019Q4 平均（全期間一定）,,,小数,なし,0.0728962197234281,2010Q1,2021Q4,0,0,#2
ETT,内生,132,132,内生,モデル上の法人実効税率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,定義式,TYCV ÷ YCV の前期からの4期移動平均（式132）,,,小数,4期移動平均のため 2010Q1〜Q4 は欠損,,2011Q1,2021Q4,4,0,#1
TT,外生,,,外生,法人実効税率,％,"MOF,MBFS",財務省 財政金融統計月報,小数（比率）,論文どおり,財務省 法人実効税率（国・地方、年度。2010年度 40.69% … 2018年度以降 29.74%）,,年度値を階段関数で手入力,% → 小数,なし,,2010Q2,2021Q4,1,0,#1
RTCST,外生,,,外生,関税率（関税／財貨・サービスの輸入）,％,"MOF,MBFS",財務省 財政金融統計月報,小数（比率）,定義式（逆算）,TCSTV ÷ MGSV（式135 を実績で閉じる）,,,小数,なし,,2010Q1,2021Q4,0,0,
SR,外生,,,外生,厚生年金保険料率（総報酬ベース）,％,MHLW,厚生労働省,小数（比率）,論文どおり,厚生年金保険料率（総報酬ベース、毎年9月改定。2017年9月以降 18.3%）,,階段関数で手入力（改定は第4四半期から）,% → 小数,なし,,2010Q1,2021Q4,0,0,
IR,外生,,,外生,所得代替率,％,Author,内閣府経済社会総合研究所作成,小数（比率）,仮定値,所得代替率 = 1（式140 は log(IR·WI·POP65) で入り、定数は誤差項に吸収）,,全期間一定,小数,なし,1.0,2010Q1,2021Q4,0,0,#3
SBGV,内生,141,141,内生,一般政府累積財政赤字,10億円,Author,内閣府経済社会総合研究所作成,10億円（ストック・期末）,定義の解釈,"日本銀行 資金循環統計 一般政府 資産合計 − 金融資産・負債差額（ストック、FF/FOF_FFAS420A900, FOF_FFAS420L700）= 負債",data/raw/boj_series.csv,四半期末残高そのまま。論文乗数表の累積赤字/GDP 比の初期変化から総債務ベース（GDP 比約231%）と判断,億円 ÷10 → 10億円,なし,,2010Q1,2021Q4,0,0,
OTNGV,外生,,,外生,一般政府財政バランス残余項目,10億円,Author,内閣府経済社会総合研究所作成,10億円（ストック・期末）,論文どおり,一般政府財政バランス残余項目 = SNA 一般政府の純貸出(+)/純借入(-)（年度、GFS）− 式126 の各項目による計算値の年度平均（論文の出所 Author）,data/raw/2022s6_2_jp.xlsx,年度値を年度内一定で四半期に割付,10億円・年率,年度値のない端の期間は最後の年度の名目GDP比で延長,,2010Q1,2021Q4,0,0,
BCV,内生,148,148,内生,経常収支,10億円,"BOJ,BPM",日本銀行 国際収支統計,10億円・季調年率,代用,BFV + RTRIV − PTRIV（SNA ベースの純輸出＋海外との所得の純受取）。論文は国際収支統計の経常収支（第二次所得収支を含む）,,式148 で ERRBCV = 0 として算出,10億円・年率,なし,,2010Q1,2021Q4,0,0,#3
ERRBCV,外生,,,外生,経常収支誤差項,10億円,Author,内閣府経済社会総合研究所作成,10億円（ストック・期末）,仮定値,経常収支誤差項 = 0,,全期間一定,10億円,なし,0.0,2010Q1,2021Q4,0,0,#3
